nutrients
Acqua (g)
Energia (kJ)
Energia (kcal)
Proteine (g)
Lipidi (g)
Colesterolo (mg)
Carboidrati disponibili (g)
Amido (g)
Zuccheri solubili (g)
Fruttoligosaccaridi (g)
Fruttosio (g)
Glucosio (g)
Lattosio (g)
Maltosio (g)
Raffinosio (g)
Saccarosio (g)
Alcool (g)
Fibra totale (g)
Fibra insolubile (g)
Fibra solubile (g)
Tiamina (mg)
Riboflavina (mg)
Niacina (mg)
Vitamina C (mg)
Vitamina A retinolo equivalente (μg)
Folati (μg)
Retinolo (μg)
Tocoferolo alfa (mg)
Tocoferolo gamma (mg)
Vitamina B12 (μg)
Vitamina B6 (mg)
Vitamina D (μg)
Vitamina E (mg)
Acido citrico (mg)
Acido fitico (g)
Acido malico (mg)
Acido pantotenico (mg)
Acidi grassi Monoinsaturi (%)
C14:1 acido miristoleico (%)
C16:1 acido palmitoleico (%)
C18:1 acido oleico (%)
C20:1 acido eicosenoico (%)
C22:1 acido erucico (%)
Acidi grassi Polinsaturi (%)
C18:2 acido linoleico (%)
C18:3 acido linolenico (%)
C20:4 acido arachidonico (%)
C20:5 acido eicosapentenoico EPA (%)
C22:6 acido docosaesenoico DHA (%)
Acidi grassi Saturi (%)
C4:0-C10:0 (%)
C10:0 acido caprinico (%)
C12:0 acido laurico (%)
C14:0 acido miristico (%)
C16:0 acido palmitico (%)
C17:0 acido eptadecanoico (%)
C17:1 acido eptadecenoico (%)
C18:0 acido stearico (%)
C20:0 acido arachidico (%)
C22:0 acido beenico (%)
Polinsatuti/Saturi
Acido aspartico
Acido glutammico
Alanina
Arginina
Cistina
Fenilalanina
Glicina
Isoleucina
Istidina
Leucina
Lisina
Metionina
Prolina
Serina
Tirosina
Treonina
Triptofano
Valina
Polifenoli (mg)
Apigenina (mg)
Attività antiossidante (mmol)
Biotina (mg)
Campferolo (mg)
Carotene alfa (μg)
Carotene beta (μg)
Carotenoidi totali (μg)
Criptoxantina (μg)
Fitosteroli (mg)
Licopene (μg)
Luteina (μg)
Miricetina (mg)
Quercetina (mg)
Violaxantina (mg)
Calcio (mg)
Cromo (mg)
Ferro (mg)
Fosforo (mg)
Magnesio (mg)
Manganese (mg)
Potassio (mg)
Rame (mg)
Selenio (μg)
Sodio (mg)
Zinco (mg)
